resource,source_stream,source_file,record_type,first_seen,last_published,repeat_eligible_after,anti_repeat_scope,status,notes
16n-faderbank/16nx+16next_firmware,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-13,2026-06-16,2026-07-16,hard,published,Recovered 2026-06-13 and 2026-06-16 digest row; source re-check recommended
shanteacontrols/OpenDeck,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-13,2026-06-13,2026-07-13,hard,published,Recovered 2026-06-13 digest row; source re-check recommended
lucidcoding/daisy-seed-development-kit,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-13,2026-06-13,2026-07-13,hard,published,Recovered 2026-06-13 digest row; URL re-check needed
newdigate/teensy-eurorack,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-13,2026-06-13,2026-07-13,hard,published,Recovered 2026-06-13 digest row; source re-check recommended
16n-faderbank/16n,webgpt_daily,data/published-repo-log.append-2026-06-15-recovered.csv,published,2026-06-15,2026-06-15,2026-07-15,hard,published,Recovered 2026-06-15 MIDI controller digest row; source re-check recommended
westlicht/performer+performer-hardware,webgpt_daily,data/published-repo-log.append-2026-06-15-recovered.csv,published,2026-06-15,2026-06-15,2026-07-15,hard,published,Recovered 2026-06-15 MIDI controller digest row; source re-check recommended
jmamma/MegaCommand_Design+MCL,webgpt_daily,data/published-repo-log.append-2026-06-15-recovered.csv,published,2026-06-15,2026-06-15,2026-07-15,hard,published,Recovered 2026-06-15 MIDI controller digest row; source re-check recommended
zukaitis/midi-grid,webgpt_daily,data/published-repo-log.append-2026-06-15-recovered.csv,published,2026-06-15,2026-06-15,2026-07-15,hard,published,Recovered 2026-06-15 MIDI controller digest row; source re-check recommended
DMME-NL/RP2040-DSP-Public,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-16,2026-06-16,2026-07-16,hard,published,Recovered 2026-06-16 Audio Mining for MIDI row; source re-check needed
tomarus/midi2cv,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-16,2026-06-16,2026-07-16,hard,published,Recovered 2026-06-16 Audio Mining for MIDI row; source re-check recommended
da-penguin-guy/Virgil-Controller,webgpt_daily,data/published-repo-log.append-2026-06-09-to-2026-06-16.csv,published,2026-06-16,2026-06-16,2026-07-16,hard,published,Recovered 2026-06-16 Audio Mining for MIDI row; source re-check recommended
NickCulbertson/Mini-Teensy-Synth,webgpt_daily,data/selected-projects.csv,selected_reference,,,,soft,selected_extra,Recovered selected project from Mini-Teensy-Synth portability work
newdigate/teensy-audio-display-components,webgpt_daily,data/selected-projects.csv,selected_reference,,,,soft,related_infrastructure,Recovered selected support repo from Mini-Teensy-Synth portability work
