item,url,decision,reason,lane,source_query
official Teensy Audio Shield / Audio Adapter / PT8211 kit group,https://www.pjrc.com/store/,rejected,Hard exclusion: official PJRC/SparkFun Teensy hardware is background only.,PJRC/forum/search noise,
generic commercial DAC/ADC/codec breakout group,,rejected,Hard exclusion unless integrated into a custom Teensy carrier/device.,all,
modular/Eurorack-only group,https://github.com/newdigate/teensy-eurorack,rejected,Not standalone 1.a; many hits require rack/backplane/panel context or were anti-repeat blocked.,B/D,
pure firmware/no-PCB group,,rejected,Pure firmware and library hits do not satisfy custom-board requirement.,all,
Teensy 3.x-only / historical group,https://codeberg.org/dcoredump/TeensyMIDIAudio,rejected,Historical TeensyMIDIAudio/PT8211 and Tympan Rev D references are useful context but not verified Teensy 4.x standalone boards.,F,
Question about powering Teensy 4.1 and Audio shield Rev D in PCB,https://forum.pjrc.com/index.php,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,PJRC forum,
teensy-eurorack/README.md at master - GitHub,https://github.com/newdigate/teensy-eurorack/blob/master/README.md,anti_repeat_blocked,Anti-repeat and Eurorack-only block.,GitHub / GitLab / Codeberg,
"Hi, i lost my teensy 4.1 cad files, anyone as a link for the ... - Facebook",https://www.facebook.com/groups/1470129233297275/posts/4085114565132049,rejected,official_teensy_audio_shield,GitHub / GitLab / Codeberg,
Eurorack shield for teensy 4.1 with 14 in / 16 out analog ... - GitHub,https://github.com/newdigate/teensy-eurorack,anti_repeat_blocked,Anti-repeat and Eurorack-only block.,GitHub / GitLab / Codeberg,
O_C T4.1 - Ornament and Crime with Teensy 4.1 - GitHub,https://github.com/PaulStoffregen/O_C_T41,rejected,Eurorack Ornament-and-Crime family item; not standalone 1.a and similar Teensy/O_C material already appears in anti-repeat history.,GitHub / GitLab / Codeberg,
Ornament and Crime hardware overview with Phazerville on Teensy ...,https://www.facebook.com/groups/1040800816762898/posts/2052497625593207,rejected,Eurorack Ornament-and-Crime family item; not standalone 1.a and similar Teensy/O_C material already appears in anti-repeat history.,GitHub / GitLab / Codeberg,
Prang | Hackaday.io,https://hackaday.io/project/187010-prang,rejected,pure_firmware_hint,maker/project sites,
Project | PolyMod: modular digital synthesizer | Hackaday.io,https://hackaday.io/project/160626/logs,rejected,eurorack_only,maker/project sites,
Project | PolyMod 2: modular digital synthesizer - Hackaday.io,https://hackaday.io/project/162812/logs,rejected,eurorack_only,maker/project sites,
PolyMod: modular digital synthesizer - Hackaday.io,https://hackaday.io/project/160626-polymod-modular-digital-synthesizer,rejected,eurorack_only,maker/project sites,
PolyMod 2: modular digital synthesizer - Hackaday.io,https://hackaday.io/project/162812-polymod-2-modular-digital-synthesizer,rejected,eurorack_only,maker/project sites,
Can you use a Teensy 4.0 for an Ornament and Crime? - MOD ...,https://modwiggler.com/forum/viewtopic.php,rejected,Eurorack Ornament-and-Crime family item; not standalone 1.a and similar Teensy/O_C material already appears in anti-repeat history.,synth/audio communities,
Thread about Ornament and Crime Teensy 4.x - Page 4 - MOD ...,https://modwiggler.com/forum/viewtopic.php?p=4263480,rejected,Eurorack Ornament-and-Crime family item; not standalone 1.a and similar Teensy/O_C material already appears in anti-repeat history.,synth/audio communities,
Kosmo Teensy Module - Look Mum No Computer Thingies,https://lookmumnocomputer.discourse.group/t/kosmo-teensy-module/2796,rejected,generic_breakout,synth/audio communities,
Prototyping a Midi to CV module with more functionality than existing ...,https://lookmumnocomputer.discourse.group/t/prototyping-a-midi-to-cv-module-with-more-functionality-than-existing-offerings/3797,rejected,generic_breakout,synth/audio communities,
Updated CS42448 PCB for Teensy 4.x | Details - Hackaday.io,https://hackaday.io/project/2984-teensy-audio-library/log/187557-updated-cs42448-pcb-for-teensy-4x,rejected,pure_firmware_hint,targeted follow-up,
Blog - Copperhill Technologies,https://copperhilltech.com/blog/tag/Teensy+4.1+CAN+FD,rejected,official_teensy_audio_shield,targeted follow-up,
Hello.. I have a teensy 4.1 and I want to add the audio shield. Rev ...,https://www.facebook.com/groups/1470129233297275/posts/4138825879760917,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,targeted follow-up,
PaulStoffregen/Audio: Teensy Audio Library - GitHub,https://github.com/PaulStoffregen/Audio,anti_repeat_blocked,anti_repeat_blocked,targeted follow-up,
Getting Started with the Teensy - SparkFun Learn,https://learn.sparkfun.com/tutorials/getting-started-with-the-teensy/resources-and-going-further,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,targeted follow-up,
Teensy 4 Audio Shield (Rev D) | For Sale at SparkFun,https://www.sparkfun.com/teensy-4-audio-shield-rev-d.html,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,targeted follow-up,
Simultaneous input and output Teensy 4.1 -> Audio Shield #9939,https://github.com/orgs/micropython/discussions/9939,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,targeted follow-up,
PJRC - Special Categories - SparkFun Electronics,https://www.sparkfun.com/special-categories/pjrc.html,rejected,Official PJRC/SparkFun Audio Shield or generic official shield noise; hard exclusion.,targeted follow-up,
Midi Controller and Motor Fader Controller on Teensy 4.1 #16 - GitHub,https://github.com/tttapa/Control-Surface-Motor-Fader/issues/16,rejected,eurorack_only,targeted follow-up,
